date,content
2023-06-05,Found a great drugstore dupe for my favorite lipstick 😍
2018-11-25,Trying a viral lipstick trend — looks amazing! #lipstick
2019-02-14,Love my new lipstick from Sephora! Absolutely obsessed.
2021-06-12,"Makeup prices are crazy lately, looking for cheaper options."
2020-11-08,Trying a viral lipstick trend — looks amazing!
2021-10-16,"Disappointed with recent lipstick formula, not lasting. #lipstick"
2020-09-20,Love my new lipstick from Sephora! Absolutely obsessed.
2018-02-05,Sale at Ulta — stocked up on mascara and lipstick! #lipstick
2022-05-03,"Can't afford luxury beauty right now, switching to drugstore."
2025-04-16,"Luxury lipstick is worth the splurge, color is perfect."
2018-01-01,Trying a viral lipstick trend — looks amazing!
2025-06-14,Sale at Ulta — stocked up on mascara and lipstick! #dupe
2025-07-23,Sale at Ulta — stocked up on mascara and lipstick! #lipstick
2019-11-22,"Luxury lipstick is worth the splurge, color is perfect."
2025-08-28,"Luxury lipstick is worth the splurge, color is perfect. #dupe"
2018-08-15,"Makeup prices are crazy lately, looking for cheaper options."
2020-01-21,"Can't afford luxury beauty right now, switching to drugstore. #dupe"
2023-06-25,"Disappointed with recent lipstick formula, not lasting."
2022-05-07,Love my new lipstick from Sephora! Absolutely obsessed.
2022-11-21,Skipping Sephora this month — budget's tight.
2018-09-13,"Makeup prices are crazy lately, looking for cheaper options. #dupe"
2021-07-05,Found a great drugstore dupe for my favorite lipstick 😍
2018-07-14,Sale at Ulta — stocked up on mascara and lipstick!
2019-05-03,"Luxury lipstick is worth the splurge, color is perfect."
2024-06-05,"Can't afford luxury beauty right now, switching to drugstore. #dupe"
2019-07-09,"Disappointed with recent lipstick formula, not lasting."
2022-01-06,"Can't afford luxury beauty right now, switching to drugstore."
2020-08-06,Skipping Sephora this month — budget's tight.
2019-03-27,Sale at Ulta — stocked up on mascara and lipstick! #dupe
2022-07-21,"Makeup prices are crazy lately, looking for cheaper options."
2019-09-03,Love my new lipstick from Sephora! Absolutely obsessed.
2024-02-04,"Makeup prices are crazy lately, looking for cheaper options."
2023-05-11,"Disappointed with recent lipstick formula, not lasting. #lipstick"
2022-07-17,Love my new lipstick from Sephora! Absolutely obsessed.
2018-09-24,Hoping prices come down soon. #inflation
2018-12-09,Sale at Ulta — stocked up on mascara and lipstick! #lipstick #dupe
2021-02-18,Sale at Ulta — stocked up on mascara and lipstick!
2025-02-25,Hoping prices come down soon. #inflation #lipstick
2022-12-07,"Can't afford luxury beauty right now, switching to drugstore. #dupe"
2020-05-25,Hoping prices come down soon. #inflation
2025-03-26,"Makeup prices are crazy lately, looking for cheaper options."
2019-12-27,Trying a viral lipstick trend — looks amazing!
2024-09-06,Found a great drugstore dupe for my favorite lipstick 😍
2021-06-18,Skipping Sephora this month — budget's tight.
2024-06-03,"Makeup prices are crazy lately, looking for cheaper options. #lipstick"
2018-01-06,"Makeup prices are crazy lately, looking for cheaper options."
2019-04-14,Love my new lipstick from Sephora! Absolutely obsessed.
2023-07-27,Love my new lipstick from Sephora! Absolutely obsessed.
2018-08-07,Love my new lipstick from Sephora! Absolutely obsessed. #dupe
2022-11-11,Sale at Ulta — stocked up on mascara and lipstick!
2024-10-13,"Can't afford luxury beauty right now, switching to drugstore."
2021-04-11,Found a great drugstore dupe for my favorite lipstick 😍
2025-01-22,Hoping prices come down soon. #inflation #lipstick
2019-03-14,Found a great drugstore dupe for my favorite lipstick 😍
2018-11-01,Skipping Sephora this month — budget's tight. #dupe
2020-03-24,Love my new lipstick from Sephora! Absolutely obsessed.
2021-01-18,"Makeup prices are crazy lately, looking for cheaper options. #lipstick"
2018-03-17,Love my new lipstick from Sephora! Absolutely obsessed.
2022-04-28,"Makeup prices are crazy lately, looking for cheaper options."
2023-06-22,"Luxury lipstick is worth the splurge, color is perfect."
2021-05-11,Hoping prices come down soon. #inflation #lipstick #dupe
2020-06-08,"Luxury lipstick is worth the splurge, color is perfect. #lipstick #dupe"
2021-03-14,Trying a viral lipstick trend — looks amazing!
2021-07-03,Trying a viral lipstick trend — looks amazing!
2018-08-20,Trying a viral lipstick trend — looks amazing!
2023-07-20,Hoping prices come down soon. #inflation
2023-09-20,Love my new lipstick from Sephora! Absolutely obsessed.
2020-05-06,Love my new lipstick from Sephora! Absolutely obsessed. #dupe
2024-03-21,Hoping prices come down soon. #inflation #lipstick
2018-06-12,"Makeup prices are crazy lately, looking for cheaper options."
2018-03-02,Found a great drugstore dupe for my favorite lipstick 😍
2024-10-09,"Luxury lipstick is worth the splurge, color is perfect."
2021-02-22,"Disappointed with recent lipstick formula, not lasting."
2018-06-13,Trying a viral lipstick trend — looks amazing!
2022-09-03,Hoping prices come down soon. #inflation
2019-01-03,"Disappointed with recent lipstick formula, not lasting. #lipstick"
2020-09-11,"Luxury lipstick is worth the splurge, color is perfect. #lipstick"
2024-05-04,Hoping prices come down soon. #inflation
2018-08-22,Love my new lipstick from Sephora! Absolutely obsessed. #lipstick
2022-07-16,Skipping Sephora this month — budget's tight. #lipstick
2023-01-20,Love my new lipstick from Sephora! Absolutely obsessed.
2024-12-01,Hoping prices come down soon. #inflation
2020-12-13,"Luxury lipstick is worth the splurge, color is perfect. #lipstick"
2024-07-19,Trying a viral lipstick trend — looks amazing! #lipstick #dupe
2021-12-25,"Luxury lipstick is worth the splurge, color is perfect."
2025-08-20,Found a great drugstore dupe for my favorite lipstick 😍
2018-09-09,Love my new lipstick from Sephora! Absolutely obsessed.
2022-09-28,"Can't afford luxury beauty right now, switching to drugstore."
2020-11-17,"Disappointed with recent lipstick formula, not lasting."
2019-06-18,"Luxury lipstick is worth the splurge, color is perfect. #lipstick #dupe"
2019-06-23,Love my new lipstick from Sephora! Absolutely obsessed.
2022-09-24,"Luxury lipstick is worth the splurge, color is perfect."
2025-08-24,"Makeup prices are crazy lately, looking for cheaper options."
2024-11-23,"Luxury lipstick is worth the splurge, color is perfect."
2018-01-26,"Makeup prices are crazy lately, looking for cheaper options."
2020-11-02,Love my new lipstick from Sephora! Absolutely obsessed.
2020-07-03,Trying a viral lipstick trend — looks amazing!
2024-11-27,Love my new lipstick from Sephora! Absolutely obsessed. #dupe
2018-01-01,Sale at Ulta — stocked up on mascara and lipstick! #lipstick
2025-01-15,"Can't afford luxury beauty right now, switching to drugstore."
2019-04-13,Hoping prices come down soon. #inflation
2024-04-10,Hoping prices come down soon. #inflation
2019-05-26,Hoping prices come down soon. #inflation
2025-01-09,Found a great drugstore dupe for my favorite lipstick 😍 #dupe
2019-01-02,"Can't afford luxury beauty right now, switching to drugstore. #dupe"
2023-02-06,Sale at Ulta — stocked up on mascara and lipstick!
2019-01-21,"Makeup prices are crazy lately, looking for cheaper options."
2025-02-08,"Makeup prices are crazy lately, looking for cheaper options."
2020-10-15,Love my new lipstick from Sephora! Absolutely obsessed.
2018-09-11,Trying a viral lipstick trend — looks amazing!
2021-09-15,"Makeup prices are crazy lately, looking for cheaper options."
2021-01-27,Trying a viral lipstick trend — looks amazing!
2021-12-12,Sale at Ulta — stocked up on mascara and lipstick!
2019-04-21,Skipping Sephora this month — budget's tight.
2023-03-04,Sale at Ulta — stocked up on mascara and lipstick!
2023-12-11,Sale at Ulta — stocked up on mascara and lipstick! #lipstick #dupe
2022-12-06,Sale at Ulta — stocked up on mascara and lipstick! #lipstick
2025-04-02,"Makeup prices are crazy lately, looking for cheaper options. #lipstick"
2020-12-18,Love my new lipstick from Sephora! Absolutely obsessed.
2024-04-18,"Makeup prices are crazy lately, looking for cheaper options."
2022-02-26,"Can't afford luxury beauty right now, switching to drugstore."
2018-12-11,"Can't afford luxury beauty right now, switching to drugstore. #dupe"
2024-08-14,Love my new lipstick from Sephora! Absolutely obsessed.
2023-02-20,"Luxury lipstick is worth the splurge, color is perfect."
2019-09-17,Skipping Sephora this month — budget's tight.
2022-11-11,Love my new lipstick from Sephora! Absolutely obsessed.
2023-12-03,Trying a viral lipstick trend — looks amazing!
2018-02-01,"Disappointed with recent lipstick formula, not lasting."
2019-08-21,"Can't afford luxury beauty right now, switching to drugstore."
2019-02-11,"Makeup prices are crazy lately, looking for cheaper options."
2024-04-10,"Luxury lipstick is worth the splurge, color is perfect."
2023-07-13,"Disappointed with recent lipstick formula, not lasting. #dupe"
2021-08-03,"Luxury lipstick is worth the splurge, color is perfect."
2018-09-12,Trying a viral lipstick trend — looks amazing! #dupe
2018-04-22,"Luxury lipstick is worth the splurge, color is perfect. #lipstick"
2022-09-10,Skipping Sephora this month — budget's tight.
2020-02-06,"Luxury lipstick is worth the splurge, color is perfect."
2020-07-04,"Luxury lipstick is worth the splurge, color is perfect."
2025-06-13,"Luxury lipstick is worth the splurge, color is perfect."
2023-07-21,"Makeup prices are crazy lately, looking for cheaper options."
2021-06-05,"Disappointed with recent lipstick formula, not lasting. #lipstick"
2022-08-18,Sale at Ulta — stocked up on mascara and lipstick!
2019-10-08,"Luxury lipstick is worth the splurge, color is perfect."
2018-10-14,"Disappointed with recent lipstick formula, not lasting. #dupe"
2022-03-17,Love my new lipstick from Sephora! Absolutely obsessed.
2022-01-08,Trying a viral lipstick trend — looks amazing! #dupe
2018-05-13,"Can't afford luxury beauty right now, switching to drugstore."
2019-12-11,"Can't afford luxury beauty right now, switching to drugstore. #lipstick"
2024-01-08,"Makeup prices are crazy lately, looking for cheaper options."
2021-11-20,"Can't afford luxury beauty right now, switching to drugstore. #lipstick"
2022-12-09,"Can't afford luxury beauty right now, switching to drugstore."
2024-03-11,"Makeup prices are crazy lately, looking for cheaper options. #dupe"
2023-11-27,"Disappointed with recent lipstick formula, not lasting."
2023-09-06,"Luxury lipstick is worth the splurge, color is perfect."
2025-05-03,Trying a viral lipstick trend — looks amazing! #lipstick
2024-07-02,"Luxury lipstick is worth the splurge, color is perfect."
2020-10-22,Hoping prices come down soon. #inflation
2022-12-07,Love my new lipstick from Sephora! Absolutely obsessed.
2022-03-23,Found a great drugstore dupe for my favorite lipstick 😍 #lipstick
2019-06-11,Hoping prices come down soon. #inflation #lipstick
2018-03-03,Hoping prices come down soon. #inflation
2024-08-19,"Disappointed with recent lipstick formula, not lasting. #lipstick"
2023-11-04,Sale at Ulta — stocked up on mascara and lipstick! #dupe
2025-03-15,Hoping prices come down soon. #inflation
2025-02-11,"Luxury lipstick is worth the splurge, color is perfect."
2024-10-01,Sale at Ulta — stocked up on mascara and lipstick! #lipstick
2020-02-15,"Makeup prices are crazy lately, looking for cheaper options. #lipstick #dupe"
2025-04-03,Found a great drugstore dupe for my favorite lipstick 😍
2025-04-03,Love my new lipstick from Sephora! Absolutely obsessed.
2018-02-04,"Makeup prices are crazy lately, looking for cheaper options."
2022-10-16,Trying a viral lipstick trend — looks amazing!
2024-01-13,"Makeup prices are crazy lately, looking for cheaper options."
2023-08-22,Trying a viral lipstick trend — looks amazing!
2023-12-16,Love my new lipstick from Sephora! Absolutely obsessed.
2019-04-06,Found a great drugstore dupe for my favorite lipstick 😍 #lipstick
2020-06-23,"Disappointed with recent lipstick formula, not lasting."
2020-11-12,"Can't afford luxury beauty right now, switching to drugstore."
2018-02-23,"Luxury lipstick is worth the splurge, color is perfect."
2023-10-06,Love my new lipstick from Sephora! Absolutely obsessed.
2025-05-01,"Disappointed with recent lipstick formula, not lasting. #lipstick"
2022-08-15,"Luxury lipstick is worth the splurge, color is perfect."
2021-07-24,Skipping Sephora this month — budget's tight.
2021-11-21,"Can't afford luxury beauty right now, switching to drugstore."
2021-12-13,Sale at Ulta — stocked up on mascara and lipstick!
2019-08-25,"Makeup prices are crazy lately, looking for cheaper options. #dupe"
2025-06-20,Found a great drugstore dupe for my favorite lipstick 😍
2022-07-27,Love my new lipstick from Sephora! Absolutely obsessed. #lipstick
2022-12-07,Trying a viral lipstick trend — looks amazing!
2020-08-26,"Disappointed with recent lipstick formula, not lasting."
2025-04-20,Found a great drugstore dupe for my favorite lipstick 😍 #lipstick
2020-07-10,Hoping prices come down soon. #inflation #lipstick
2021-06-19,Found a great drugstore dupe for my favorite lipstick 😍
2024-02-06,Trying a viral lipstick trend — looks amazing!
2023-01-13,Found a great drugstore dupe for my favorite lipstick 😍 #dupe
2024-07-28,Trying a viral lipstick trend — looks amazing!
2019-06-21,"Disappointed with recent lipstick formula, not lasting. #dupe"
2022-06-21,Love my new lipstick from Sephora! Absolutely obsessed.
2021-04-14,Sale at Ulta — stocked up on mascara and lipstick!
2021-09-18,Hoping prices come down soon. #inflation #dupe
2021-01-14,Sale at Ulta — stocked up on mascara and lipstick! #dupe
2020-04-06,"Disappointed with recent lipstick formula, not lasting."
2020-10-20,Sale at Ulta — stocked up on mascara and lipstick!
2023-11-20,"Makeup prices are crazy lately, looking for cheaper options. #lipstick"
2020-10-25,"Can't afford luxury beauty right now, switching to drugstore."
2025-05-26,Skipping Sephora this month — budget's tight. #lipstick
2018-11-12,Love my new lipstick from Sephora! Absolutely obsessed.
2019-11-25,"Disappointed with recent lipstick formula, not lasting."
2023-05-02,Hoping prices come down soon. #inflation
2018-06-23,Found a great drugstore dupe for my favorite lipstick 😍
2019-07-01,Love my new lipstick from Sephora! Absolutely obsessed. #dupe
2019-09-23,Hoping prices come down soon. #inflation
2024-05-06,"Can't afford luxury beauty right now, switching to drugstore. #lipstick"
2018-11-18,Trying a viral lipstick trend — looks amazing! #lipstick
2024-08-11,Skipping Sephora this month — budget's tight. #lipstick #dupe
2020-07-05,"Makeup prices are crazy lately, looking for cheaper options."
2025-01-07,"Can't afford luxury beauty right now, switching to drugstore."
2019-02-08,Trying a viral lipstick trend — looks amazing!
2018-06-18,Trying a viral lipstick trend — looks amazing!
2018-12-13,Trying a viral lipstick trend — looks amazing!
2020-02-28,"Luxury lipstick is worth the splurge, color is perfect."
2021-10-05,Skipping Sephora this month — budget's tight.
2020-09-15,Hoping prices come down soon. #inflation #lipstick
2019-07-05,Skipping Sephora this month — budget's tight.
2023-02-05,Hoping prices come down soon. #inflation
2021-01-28,Skipping Sephora this month — budget's tight. #dupe
2018-01-09,Skipping Sephora this month — budget's tight. #lipstick
2022-07-06,"Makeup prices are crazy lately, looking for cheaper options."
2023-06-08,"Can't afford luxury beauty right now, switching to drugstore."
2022-03-23,Skipping Sephora this month — budget's tight. #lipstick #dupe
2022-04-20,"Luxury lipstick is worth the splurge, color is perfect."
2021-02-18,Trying a viral lipstick trend — looks amazing!
2023-04-09,Found a great drugstore dupe for my favorite lipstick 😍 #lipstick
2023-11-21,"Makeup prices are crazy lately, looking for cheaper options."
2024-10-14,Hoping prices come down soon. #inflation #lipstick
2021-12-13,Hoping prices come down soon. #inflation
2024-04-05,"Can't afford luxury beauty right now, switching to drugstore. #dupe"
2021-05-11,Skipping Sephora this month — budget's tight. #dupe
2023-11-13,"Makeup prices are crazy lately, looking for cheaper options. #lipstick"
2018-08-15,Hoping prices come down soon. #inflation
2021-03-01,Skipping Sephora this month — budget's tight.
2020-01-01,Love my new lipstick from Sephora! Absolutely obsessed.
2018-07-12,"Can't afford luxury beauty right now, switching to drugstore."
2020-03-06,Hoping prices come down soon. #inflation #lipstick
2019-10-26,Sale at Ulta — stocked up on mascara and lipstick!
2025-05-22,"Makeup prices are crazy lately, looking for cheaper options."
2022-08-08,Love my new lipstick from Sephora! Absolutely obsessed.
2023-10-03,Found a great drugstore dupe for my favorite lipstick 😍
2022-01-14,"Makeup prices are crazy lately, looking for cheaper options. #lipstick"
2019-06-23,Skipping Sephora this month — budget's tight.
2021-06-17,"Luxury lipstick is worth the splurge, color is perfect."
2025-08-21,Sale at Ulta — stocked up on mascara and lipstick!
2019-10-24,"Makeup prices are crazy lately, looking for cheaper options."
2023-07-17,"Can't afford luxury beauty right now, switching to drugstore. #lipstick"
2018-11-18,Trying a viral lipstick trend — looks amazing! #lipstick
2021-04-27,"Makeup prices are crazy lately, looking for cheaper options."
2018-10-17,Found a great drugstore dupe for my favorite lipstick 😍
2020-11-21,Found a great drugstore dupe for my favorite lipstick 😍 #dupe
2023-08-22,"Can't afford luxury beauty right now, switching to drugstore."
2025-03-21,"Disappointed with recent lipstick formula, not lasting. #lipstick"
2024-01-17,Love my new lipstick from Sephora! Absolutely obsessed.
2022-02-02,"Makeup prices are crazy lately, looking for cheaper options. #lipstick #dupe"
2020-02-18,Sale at Ulta — stocked up on mascara and lipstick!
2020-07-10,Skipping Sephora this month — budget's tight. #lipstick
2024-09-19,"Luxury lipstick is worth the splurge, color is perfect."
2019-07-13,"Luxury lipstick is worth the splurge, color is perfect. #lipstick"
2021-11-03,Sale at Ulta — stocked up on mascara and lipstick! #lipstick
2024-07-08,"Luxury lipstick is worth the splurge, color is perfect."
2020-02-28,Sale at Ulta — stocked up on mascara and lipstick!
2019-10-27,Found a great drugstore dupe for my favorite lipstick 😍
2022-08-23,Hoping prices come down soon. #inflation
